date,temps jour,temps semaine,week_number,matieres
2024-03-01,32.25,32.25,9,"['C27020', 'C28750', 'C28710', 'C28700', 'C23650', 'C22903', 'C24200', 'C24250', 'C21362', 'C28100', 'C26710', 'C27350', 'C24400', 'C26400', 'C28350', 'C27050', 'C26300', 'C25630', 'C25450', 'C25000', 'C21055', 'C21660', 'C21700', 'C20720', 'C25020', 'C20745', 'C27850', 'C21005', 'C28000', 'C21900', 'C21850', 'C22000', 'C28840', 'C25300', 'C29106', 'C29010', 'C23550', 'C23200', 'C23150', 'C27300', 'C21423', 'C21460', 'C20500', 'C23050']"
2024-03-04,29.25,147.0,10,"['C27350', 'C21005', 'C23050', 'C27850', 'C25020', 'C25300', 'C20500', 'C21460', 'C21900', 'C21055', 'C23150', 'C23550', 'C28100', 'C27050', 'C24250', 'C24400', 'C24950', 'C28200', 'C21147', 'C25000', 'C26490', 'C21526', 'C21420', 'C21422', 'C27300', 'C28480', 'C27020', 'C22780', 'C20543', 'C21415', 'C3900799', 'C21525', 'C21350', 'C3901799', 'C3900219', 'C22265', 'C27046']"
2024-03-05,29.5,147.0,10,"['C25300', 'C27850', 'C21460', 'C27050', 'C23050', 'C21005', 'C23550', 'C20500', 'C27350', 'C23150', 'C25410', 'C21700', 'C21525', 'C25630', 'C21020', 'C21990', 'C22260', 'C24267', 'C25000', 'C28350', 'C23300', 'C25020', 'C27076', 'C21900', 'C28100', 'C22906', 'C27020', 'C27860', 'C28000', 'C26490', 'C25450', 'C20543', 'C21465', 'C3900503', 'C22091', 'C28200', 'C22265']"
2024-03-06,29.25,147.0,10,"['C28000', 'C27300', 'C21526', 'C27046', 'C21535', 'C27020', 'C21422', 'C25300', 'C27076', 'C21146', 'C21580', 'C27050', 'C21460', 'C24250', 'C28480', 'C22090', 'C25230', 'C20543', 'C22980', 'C23550', 'C20300', 'C25020', 'C20500', 'C21005', 'C27850', 'C28200', 'C21000', 'C24160', 'C21990', 'C28850', 'C29999', 'C21055', 'C29998', 'C3902520', 'C3902569', 'C3902403', 'C23150', 'C3900713', 'C3902019', 'C28500']"
2024-03-07,29.5,147.0,10,"['C24400', 'C23300', 'C27050', 'C21460', 'C26490', 'C22780', 'C23150', 'C27020', 'C24250', 'C21420', 'C27350', 'C23550', 'C23050', 'C27300', 'C20500', 'C20543', 'C25230', 'C22260', 'C25410', 'C21990', 'C22095', 'C25300', 'C21055', 'C24950', 'C23551', 'C27076', 'C28100', 'C21005', 'C20710', 'C3901891', 'C3900219', 'C3900713', 'C28240', 'C25000', 'C21880', 'C23305', 'C3900487', 'C3900221', 'C3900702']"
2024-03-08,29.5,147.0,10,"['C25020', 'C21900', 'C27050', 'C23050', 'C23300', 'C23510', 'C25300', 'C21700', 'C3902271', 'C25230', 'C23150', 'C21580', 'C22940', 'C22980', 'C22095', 'C24400', 'C25630', 'C24880', 'C22260', 'C25410', 'C24260', 'C26490', 'C24950', 'C22780', 'C21535', 'C24250', 'C25000', 'C23550', 'C20500', 'C20543', 'C21420', 'C21460', 'C3902403', 'C28000', 'C3901128', 'C27068', 'C28240', 'C28530', 'C24267', 'C23305', 'C23155', 'C3900504', 'C25021']"
2024-03-11,29.25,146.5,11,"['C25230', 'C27046', 'C27850', 'C27076', 'C25300', 'C23550', 'C23050', 'C25410', 'C21055', 'C27350', 'C20500', 'C21020', 'C22095', 'C28100', 'C21990', 'C20300', 'C25020', 'C24400', 'C22260', 'C21005', 'C21460', 'C27050', 'C20543', 'C24250', 'C21900', 'C23150', 'C23300', 'C27020', 'C23551', 'C3900713', 'C26490', 'C27300', 'C28200', 'C28350', 'C3901799', 'C23350', 'C21535']"
2024-03-12,29.5,146.5,11,"['C23680', 'C25585', 'C25410', 'C22260', 'C20543', 'C21990', 'C20500', 'C23550', 'C21020', 'C25300', 'C27850', 'C21005', 'C25230', 'C27076', 'C29012', 'C22095', 'C23150', 'C23400', 'C27350', 'C27046', 'C23325', 'C21165', 'C20300', 'C21460', 'C23300', 'C23050', 'C27050', 'C25000', 'C24950', 'C24250', 'C3900702', 'C3901221', 'C23650', 'C23330', 'C21350', 'C3901799', 'C23305', 'C26400', 'C24840', 'C21700', 'C20531', 'C3900221', 'C23350', 'C27300']"
2024-03-13,29.5,146.5,11,"['C28500', 'C3902267', 'C21525', 'C3900504', 'C28100', 'C3900503', 'C22903', 'C21420', 'C21900', 'C27046', 'C21005', 'C26300', 'C22905', 'C27300', 'C22780', 'C27350', 'C27050', 'C28350', 'C23200', 'C21460', 'C24400', 'C20300', 'C22000', 'C28200', 'C23150', 'C3902569', 'C25020', 'C21020', 'C23050', 'C21700', 'C23350', 'C3900799', 'C27850', 'C21055', 'C21350', 'C26350', 'C21526', 'C20543', 'C20700', 'C23300', 'C24267', 'C27020']"
2024-03-14,29.25,146.5,11,"['C20543', 'C28485', 'C23150', 'C20500', 'C3900219', 'C3901221', 'C29998', 'C3900503', 'C22905', 'C23551', 'C3901799', 'C28750', 'C28840', 'C23550', 'C3900221', 'C3901891', 'C23305', 'C3900504', 'C3900487', 'C3900493', 'C3902267', 'C28500', 'C23330', 'C22780', 'C24250', 'C23350', 'C24950', 'C21362', 'C28100', 'C27020', 'C28350', 'C20760', 'C3902019', 'C21900', 'C21005', 'C25020', 'C3900702', 'C3902403', 'C21700', 'C27200', 'C21520', 'C24400', 'C22785', 'C21525', 'C3901128']"
