MP_OF,MP CODE,MP NAME,BESOIN (KG),ORDRE PRODUCTION,DATE FABRICATION,DATE PESEE,Temps pesee (15 ou 30 minutes)
C270200000455182,C27020,PHENOXYETHANOL,5.05,455182,2024-03-05 07:30:40.210,2024-03-01,30
C287500000453897,C28750,VASELINE BLANC VISQ,227.2448,453897,2024-03-05 13:00:00.000,2024-03-01,30
C287100000455116,C28710,VASELINE BLANCHE METVIX,1.6422,455116,2024-03-05 07:30:40.210,2024-03-01,30
C287100000455117,C28710,VASELINE BLANCHE METVIX,1.6422,455117,2024-03-05 15:53:00.000,2024-03-01,15
C287000000455182,C28700,VASELINE BLANCHE,40.4,455182,2024-03-05 07:30:40.210,2024-03-01,30
C236500000455120,C23650,GLYCEROL STEARATE AE,13.332,455120,2024-03-05 07:30:40.210,2024-03-01,30
C236500000455116,C23650,GLYCEROL STEARATE AE,1.4076,455116,2024-03-05 07:30:40.210,2024-03-01,15
C236500000455117,C23650,GLYCEROL STEARATE AE,1.4076,455117,2024-03-05 15:53:00.000,2024-03-01,15
C236500000455119,C23650,GLYCEROL STEARATE AE,13.332,455119,2024-03-05 23:58:00.000,2024-03-01,15
C229030000455120,C22903,DESONIDE MS USP,2.7775,455120,2024-03-05 07:30:40.210,2024-03-01,30
C229030000455119,C22903,DESONIDE MS USP,2.7775,455119,2024-03-05 23:58:00.000,2024-03-01,15
C242000000455116,C24200,ISOPROPYL MYRISTATE,0.9384,455116,2024-03-05 07:30:40.210,2024-03-01,30
C242000000455117,C24200,ISOPROPYL MYRISTATE,0.9384,455117,2024-03-05 15:53:00.000,2024-03-01,15
C242500000455093,C24250,ISOPROPYL PALMITATE,20.4,455093,2024-03-05 13:56:00.000,2024-03-01,30
C213620000453897,C21362,CALCITRIOL NVS,0.001212,453897,2024-03-05 13:00:00.000,2024-03-01,30
C281000000455093,C28100,SORBITOL 70% NONCRIS,51.0,455093,2024-03-05 13:56:00.000,2024-03-01,30
C267100000455116,C26710,PEG 40 STEARATE,0.7038,455116,2024-03-05 07:30:40.210,2024-03-01,30
C267100000455182,C26710,PEG 40 STEARATE,30.3,455182,2024-03-05 07:30:40.210,2024-03-01,15
C267100000455117,C26710,PEG 40 STEARATE,0.7038,455117,2024-03-05 15:53:00.000,2024-03-01,15
C273500000455120,C27350,PROPYLENE GLYCOL,277.75,455120,2024-03-05 07:30:40.210,2024-03-01,30
C273500000455000,C27350,PROPYLENE GLYCOL,142.8,455000,2024-03-05 16:00:00.000,2024-03-01,15
C273500000455119,C27350,PROPYLENE GLYCOL,277.75,455119,2024-03-05 23:58:00.000,2024-03-01,15
C244000000455093,C24400,LACTIQUE ACIDE 90%,0.408,455093,2024-03-05 13:56:00.000,2024-03-01,30
C264000000455182,C26400,PARAFFINE LIQ110-230,40.4,455182,2024-03-05 07:30:40.210,2024-03-01,30
C264000000453897,C26400,PARAFFINE LIQ110-230,176.75,453897,2024-03-05 13:00:00.000,2024-03-01,15
C283500000455120,C28350,STEARYLIQUE ALCOOL,61.105,455120,2024-03-05 07:30:40.210,2024-03-01,30
C283500000455182,C28350,STEARYLIQUE ALCOOL,50.5,455182,2024-03-05 07:30:40.210,2024-03-01,15
C283500000455119,C28350,STEARYLIQUE ALCOOL,61.105,455119,2024-03-05 23:58:00.000,2024-03-01,15
C270500000455000,C27050,POLOXAMER 182,7.14,455000,2024-03-05 16:00:00.000,2024-03-01,30
C263000000455120,C26300,PARAFFINE LIQ 15-25,787.699,455120,2024-03-05 07:30:40.210,2024-03-01,30
C263000000455119,C26300,PARAFFINE LIQ 15-25,787.699,455119,2024-03-05 23:58:00.000,2024-03-01,15
C256300000455116,C25630,OLEIQUE ALCOOL,0.2346,455116,2024-03-05 07:30:40.210,2024-03-01,30
C256300000455117,C25630,OLEIQUE ALCOOL,0.2346,455117,2024-03-05 15:53:00.000,2024-03-01,15
C254500000455120,C25450,NA LAURYL SULFATE,13.332,455120,2024-03-05 07:30:40.210,2024-03-01,30
C254500000455119,C25450,NA LAURYL SULFATE,13.332,455119,2024-03-05 23:58:00.000,2024-03-01,15
C250000000455116,C25000,METHYL PARABEN,0.04692,455116,2024-03-05 07:30:40.210,2024-03-01,30
C250000000455120,C25000,METHYL PARABEN,4.444,455120,2024-03-05 07:30:40.210,2024-03-01,15
C250000000455117,C25000,METHYL PARABEN,0.04692,455117,2024-03-05 15:53:00.000,2024-03-01,15
C250000000455119,C25000,METHYL PARABEN,4.444,455119,2024-03-05 23:58:00.000,2024-03-01,15
C210550000455093,C21055,BENZYLIQUE ALCOOL PHARMA,22.44,455093,2024-03-05 13:56:00.000,2024-03-01,30
C216600000455116,C21660,CETOSTEARYLIQUE ALCOOL PE,0.9384,455116,2024-03-05 07:30:40.210,2024-03-01,30
C216600000455117,C21660,CETOSTEARYLIQUE ALCOOL PE,0.9384,455117,2024-03-05 15:53:00.000,2024-03-01,15
C217000000455120,C21700,CETYLIQUE ALCOOL,13.332,455120,2024-03-05 07:30:40.210,2024-03-01,30
C217000000455119,C21700,CETYLIQUE ALCOOL,13.332,455119,2024-03-05 23:58:00.000,2024-03-01,15
C207200000455116,C20720,AMANDE HUILE RAFF.,0.4692,455116,2024-03-05 07:30:40.210,2024-03-01,30
C207200000455117,C20720,AMANDE HUILE RAFF.,0.4692,455117,2024-03-05 15:53:00.000,2024-03-01,15
C250200000455093,C25020,METRONIDAZOLE,7.65,455093,2024-03-05 13:56:00.000,2024-03-01,30
C207450000455116,C20745,ARACHIDE HUILE RAFFINEE,0.7038,455116,2024-03-05 07:30:40.210,2024-03-01,30
C207450000455117,C20745,ARACHIDE HUILE RAFFINEE,0.7038,455117,2024-03-05 15:53:00.000,2024-03-01,15
C278500000455000,C27850,SILICE COLLOIDAL ANH,0.7497,455000,2024-03-05 16:00:00.000,2024-03-01,30
C210050000455000,C21005,BENZOYL PEROXYD HYD ARKEMA,489.09,455000,2024-03-05 16:00:00.000,2024-03-01,30
C280000000455120,C28000,SORBITAN MONOSTEARAT,133.32,455120,2024-03-05 07:30:40.210,2024-03-01,30
C280000000455119,C28000,SORBITAN MONOSTEARAT,133.32,455119,2024-03-05 23:58:00.000,2024-03-01,15
C219000000455093,C21900,CIRE AE,127.5,455093,2024-03-05 13:56:00.000,2024-03-01,30
C218500000455116,C21850,CHOLESTEROL,0.2346,455116,2024-03-05 07:30:40.210,2024-03-01,30
C218500000455117,C21850,CHOLESTEROL,0.2346,455117,2024-03-05 15:53:00.000,2024-03-01,15
C220000000455120,C22000,CITRIQUE ACIDE ANH,2.222,455120,2024-03-05 07:30:40.210,2024-03-01,30
C220000000455119,C22000,CITRIQUE ACIDE ANH,2.222,455119,2024-03-05 23:58:00.000,2024-03-01,15
C288400000453897,C28840,VITAMINE E,0.0061200000000000004,453897,2024-03-05 13:00:00.000,2024-03-01,30
C253000000455120,C25300,NA HYDROXYDE,0.0,455120,2024-03-05 07:30:40.210,2024-03-01,30
C253000000455182,C25300,NA HYDROXYDE,3.939,455182,2024-03-05 07:30:40.210,2024-03-01,15
C253000000455093,C25300,NA HYDROXYDE,0.0,455093,2024-03-05 13:56:00.000,2024-03-01,15
C253000000455000,C25300,NA HYDROXYDE,6.426,455000,2024-03-05 16:00:00.000,2024-03-01,15
C253000000455119,C25300,NA HYDROXYDE,0.0,455119,2024-03-05 23:58:00.000,2024-03-01,15
C291060000455116,C29106,METHYL 5 AMINOLEVULINATE HCL,4.9266,455116,2024-03-05 07:30:40.210,2024-03-01,30
C291060000455117,C29106,METHYL 5 AMINOLEVULINATE HCL,4.9266,455117,2024-03-05 15:53:00.000,2024-03-01,15
C290100000455182,C29010,AMOROLFINE CHL NV,2.81588,455182,2024-03-05 07:30:40.210,2024-03-01,30
C235500000455116,C23550,GLYCEROL,1.4076,455116,2024-03-05 07:30:40.210,2024-03-01,30
C235500000455093,C23550,GLYCEROL,40.8,455093,2024-03-05 13:56:00.000,2024-03-01,15
C235500000455117,C23550,GLYCEROL,1.4076,455117,2024-03-05 15:53:00.000,2024-03-01,15
C235500000455000,C23550,GLYCEROL,142.8,455000,2024-03-05 16:00:00.000,2024-03-01,15
C232000000455120,C23200,EDTA TETRASODIUM,3.6829650000000003,455120,2024-03-05 07:30:40.210,2024-03-01,30
C232000000455119,C23200,EDTA TETRASODIUM,3.6829650000000003,455119,2024-03-05 23:58:00.000,2024-03-01,15
C231500000455116,C23150,EDTA DISODIUM,0.2346,455116,2024-03-05 07:30:40.210,2024-03-01,30
C231500000455182,C23150,EDTA DISODIUM,1.01,455182,2024-03-05 07:30:40.210,2024-03-01,15
C231500000455117,C23150,EDTA DISODIUM,0.2346,455117,2024-03-05 15:53:00.000,2024-03-01,15
C231500000455000,C23150,EDTA DISODIUM,3.57,455000,2024-03-05 16:00:00.000,2024-03-01,15
C273000000455120,C27300,PROPYL PARABEN,2.222,455120,2024-03-05 07:30:40.210,2024-03-01,30
C273000000455116,C27300,PROPYL PARABEN,0.02346,455116,2024-03-05 07:30:40.210,2024-03-01,15
C273000000455117,C27300,PROPYL PARABEN,0.02346,455117,2024-03-05 15:53:00.000,2024-03-01,15
