Matiere_OF,ORDRE PRODUCTION,PLATEFORME,CODE CREME,DESCRIPTION,MP CODE,MP NAME,BESOIN (KG),WEEK
C214230000455182,455182,RESS_1200L_GUERIN,B20213,LOCERYL 0.25% CRE,C21423,CARBOMER HOMOPOLYMER TYPE B,8.16,10
C236500000455120,455120,RESS_6000L_GOAVEC,B28068,DESOWEN LOT MS,C23650,GLYCEROL STEARATE AE,13.332,10
C253000000455120,455120,RESS_6000L_GOAVEC,B28068,DESOWEN LOT MS,C25300,NA HYDROXYDE,0.0,10
C254500000455120,455120,RESS_6000L_GOAVEC,B28068,DESOWEN LOT MS,C25450,NA LAURYL SULFATE,13.332,10
C263000000455120,455120,RESS_6000L_GOAVEC,B28068,DESOWEN LOT MS,C26300,PARAFFINE LIQ 15-25,787.699,10
C273000000455120,455120,RESS_6000L_GOAVEC,B28068,DESOWEN LOT MS,C27300,PROPYL PARABEN,2.222,10
C273500000455120,455120,RESS_6000L_GOAVEC,B28068,DESOWEN LOT MS,C27350,PROPYLENE GLYCOL,277.75,10
C280000000455120,455120,RESS_6000L_GOAVEC,B28068,DESOWEN LOT MS,C28000,SORBITAN MONOSTEARAT,133.32,10
C283500000455120,455120,RESS_6000L_GOAVEC,B28068,DESOWEN LOT MS,C28350,STEARYLIQUE ALCOOL,61.105,10
C291060000455116,455116,RESS_S450L_S25L,B27401,METVIX CRE,C29106,METHYL 5 AMINOLEVULINATE HCL,4.9266,10
C287100000455116,455116,RESS_S450L_S25L,B27401,METVIX CRE,C28710,VASELINE BLANCHE METVIX,1.6422,10
C232000000455120,455120,RESS_6000L_GOAVEC,B28068,DESOWEN LOT MS,C23200,EDTA TETRASODIUM,3.6829650000000003,10
C273000000455116,455116,RESS_S450L_S25L,B27401,METVIX CRE,C27300,PROPYL PARABEN,0.02346,10
C256300000455116,455116,RESS_S450L_S25L,B27401,METVIX CRE,C25630,OLEIQUE ALCOOL,0.2346,10
C250000000455116,455116,RESS_S450L_S25L,B27401,METVIX CRE,C25000,METHYL PARABEN,0.04692,10
C242000000455116,455116,RESS_S450L_S25L,B27401,METVIX CRE,C24200,ISOPROPYL MYRISTATE,0.9384,10
C236500000455116,455116,RESS_S450L_S25L,B27401,METVIX CRE,C23650,GLYCEROL STEARATE AE,1.4076,10
C235500000455116,455116,RESS_S450L_S25L,B27401,METVIX CRE,C23550,GLYCEROL,1.4076,10
C231500000455116,455116,RESS_S450L_S25L,B27401,METVIX CRE,C23150,EDTA DISODIUM,0.2346,10
C218500000455116,455116,RESS_S450L_S25L,B27401,METVIX CRE,C21850,CHOLESTEROL,0.2346,10
C216600000455116,455116,RESS_S450L_S25L,B27401,METVIX CRE,C21660,CETOSTEARYLIQUE ALCOOL PE,0.9384,10
C207450000455116,455116,RESS_S450L_S25L,B27401,METVIX CRE,C20745,ARACHIDE HUILE RAFFINEE,0.7038,10
