MP CODE,DATE FABRICATION,BESOIN (KG),Matiere_OF,NB PESEE,DATE_48h_avant
C27050,2024-03-05,7.14,['C270500000455000'],1,2024-03-01
C26300,2024-03-05,1575.398,"['C263000000455120', 'C263000000455119']",2,2024-03-01
C25630,2024-03-05,0.4692,"['C256300000455116', 'C256300000455117']",2,2024-03-01
C25450,2024-03-05,26.664,"['C254500000455120', 'C254500000455119']",2,2024-03-01
C25000,2024-03-05,8.98184,"['C250000000455116', 'C250000000455120', 'C250000000455117', 'C250000000455119']",4,2024-03-01
C21055,2024-03-05,22.44,['C210550000455093'],1,2024-03-01
C21660,2024-03-05,1.8768,"['C216600000455116', 'C216600000455117']",2,2024-03-01
C21700,2024-03-05,26.664,"['C217000000455120', 'C217000000455119']",2,2024-03-01
C20720,2024-03-05,0.9384,"['C207200000455116', 'C207200000455117']",2,2024-03-01
C25020,2024-03-05,7.65,['C250200000455093'],1,2024-03-01
C20745,2024-03-05,1.4076,"['C207450000455116', 'C207450000455117']",2,2024-03-01
C27850,2024-03-05,0.7497,['C278500000455000'],1,2024-03-01
C21005,2024-03-05,489.09,['C210050000455000'],1,2024-03-01
C28000,2024-03-05,266.64,"['C280000000455120', 'C280000000455119']",2,2024-03-01
C21900,2024-03-05,127.5,['C219000000455093'],1,2024-03-01
C21850,2024-03-05,0.4692,"['C218500000455116', 'C218500000455117']",2,2024-03-01
C22000,2024-03-05,4.444,"['C220000000455120', 'C220000000455119']",2,2024-03-01
C28840,2024-03-05,0.0061200000000000004,['C288400000453897'],1,2024-03-01
C25300,2024-03-05,10.365,"['C253000000455120', 'C253000000455182', 'C253000000455093', 'C253000000455000', 'C253000000455119']",5,2024-03-01
C29106,2024-03-05,9.8532,"['C291060000455116', 'C291060000455117']",2,2024-03-01
C29010,2024-03-05,2.81588,['C290100000455182'],1,2024-03-01
C23550,2024-03-05,186.41520000000003,"['C235500000455116', 'C235500000455093', 'C235500000455117', 'C235500000455000']",4,2024-03-01
C23200,2024-03-05,7.3659300000000005,"['C232000000455120', 'C232000000455119']",2,2024-03-01
C23150,2024-03-05,5.0492,"['C231500000455116', 'C231500000455182', 'C231500000455117', 'C231500000455000']",4,2024-03-01
C27300,2024-03-05,4.49092,"['C273000000455120', 'C273000000455116', 'C273000000455117', 'C273000000455119']",4,2024-03-01
C21423,2024-03-05,8.16,['C214230000455182'],1,2024-03-01
C21460,2024-03-05,28.56,['C214600000455000'],1,2024-03-01
C20500,2024-03-05,71.4,['C205000000455000'],1,2024-03-01
C23050,2024-03-05,1.785,['C230500000455000'],1,2024-03-01
C27020,2024-03-07,11.655000000000001,"['C270200000456221', 'C270200000455118', 'C270200000455111']",3,2024-03-05
C22780,2024-03-07,131.3,['C227800000455111'],1,2024-03-05
C23150,2024-03-07,8.14,"['C231500000456221', 'C231500000454919', 'C231500000455111']",3,2024-03-05
C27350,2024-03-07,341.3,"['C273500000456221', 'C273500000455118', 'C273500000454919']",3,2024-03-05
C21005,2024-03-07,407.9592,['C210050000454919'],1,2024-03-05
C20543,2024-03-07,2.02,"['C205430000456221', 'C205430000455111']",2,2024-03-05
C27050,2024-03-11,11.11,"['C270500000454930', 'C270500000454873', 'C270500000455036']",3,2024-03-07
C21525,2024-03-11,19.695,['C215250000455100'],1,2024-03-07
C25630,2024-03-11,20.2,['C256300000456419'],1,2024-03-07
C21460,2024-03-11,36.64,"['C214600000454930', 'C214600000454873']",2,2024-03-07
C21020,2024-03-11,141.4,['C210200000455108'],1,2024-03-07
C27850,2024-03-11,0.9581999999999999,"['C278500000454930', 'C278500000454873']",2,2024-03-07
C24250,2024-03-11,40.4,['C242500000456419'],1,2024-03-07
C21990,2024-03-11,7.777,"['C219900000456419', 'C219900000455187']",2,2024-03-07
C28480,2024-03-11,0.6375,['C284800000455106'],1,2024-03-07
C22090,2024-03-11,1.515,['C220900000455187'],1,2024-03-07
C22260,2024-03-11,181.8,['C222600000455187'],1,2024-03-07
C25230,2024-03-11,78.78,['C252300000455187'],1,2024-03-07
C24267,2024-03-11,11.22,['C242670000456419'],1,2024-03-07
C20543,2024-03-11,5.05,"['C205430000455108', 'C205430000455036']",2,2024-03-07
C25000,2024-03-11,6.474,"['C250000000456419', 'C250000000455106', 'C250000000455100', 'C250000000455036']",4,2024-03-07
C22980,2024-03-11,5.05,['C229800000456419'],1,2024-03-07
C23550,2024-03-11,439.9,"['C235500000455108', 'C235500000456419', 'C235500000455106', 'C235500000454930', 'C235500000454873']",5,2024-03-07
C21005,2024-03-11,275.164,"['C210050000454930', 'C210050000454873']",2,2024-03-07
C28350,2024-03-11,25.25,['C283500000456419'],1,2024-03-07
C23050,2024-03-11,4.3275,"['C230500000455108', 'C230500000454930', 'C230500000454873']",3,2024-03-07
C20300,2024-03-11,161.6,['C203000000455108'],1,2024-03-07
C23300,2024-03-11,303.0,['C233000000455187'],1,2024-03-07
C25020,2024-03-11,22.725,['C250200000455100'],1,2024-03-07
C23150,2024-03-11,11.615,"['C231500000455108', 'C231500000456419', 'C231500000455100', 'C231500000454930', 'C231500000454873', 'C231500000455036']",6,2024-03-07
C20500,2024-03-11,91.25,"['C205000000454930', 'C205000000454873']",2,2024-03-07
C20500,2024-03-12,111.10000000000001,"['C205000000454997', 'C205000000454929', 'C205000000454913']",3,2024-03-08
C20543,2024-03-12,1.01,['C205430000455110'],1,2024-03-08
C25230,2024-03-12,157.56,"['C252300000455194', 'C252300000455193']",2,2024-03-08
C22260,2024-03-12,363.6,"['C222600000455194', 'C222600000455193']",2,2024-03-08
C25410,2024-03-12,1030.2,"['C254100000455194', 'C254100000455193']",2,2024-03-08
C21990,2024-03-12,14.544,"['C219900000455194', 'C219900000455193']",2,2024-03-08
C22095,2024-03-12,3.03,"['C220950000455194', 'C220950000455193']",2,2024-03-08
C21005,2024-03-12,134.6664,['C210050000454997'],1,2024-03-08
C27850,2024-03-12,1.1665999999999999,"['C278500000454997', 'C278500000454929', 'C278500000454913']",3,2024-03-08
C25300,2024-03-12,11.5355,"['C253000000454997', 'C253000000455092', 'C253000000454929', 'C253000000454913', 'C253000000455110']",5,2024-03-08
C25000,2024-03-12,2.02,['C250000000455110'],1,2024-03-08
C25020,2024-03-12,7.65,['C250200000455092'],1,2024-03-08
C27076,2024-03-12,121.2,"['C270760000455194', 'C270760000455193']",2,2024-03-08
C28200,2024-03-12,60.6,['C282000000455110'],1,2024-03-08
C21000,2024-03-12,370.3308,"['C210000000454929', 'C210000000454913']",2,2024-03-08
