date,temps jour,temps semaine,week_number,matieres
2024-03-01,30.0,30.0,9,"['C27020', 'C28750', 'C28710', 'C28700', 'C23650', 'C22903', 'C24200', 'C24250', 'C21362', 'C28100', 'C26710', 'C27350', 'C24400', 'C26400', 'C28350', 'C27050', 'C26300', 'C25630', 'C25450', 'C25000', 'C21055']"
2024-03-04,17.0,112.5,10,"['C27350', 'C21005', 'C23050', 'C27850', 'C25020', 'C25300', 'C20500', 'C21460', 'C21900', 'C21055', 'C23150', 'C23550', 'C28100', 'C27050', 'C24250', 'C24400']"
2024-03-05,28.0,112.5,10,"['C24950', 'C28200', 'C23050', 'C27850', 'C21147', 'C25000', 'C21460', 'C26490', 'C27050', 'C23550', 'C21526', 'C21420', 'C21422', 'C27300', 'C20500', 'C28480', 'C25300', 'C27020', 'C22780', 'C23150', 'C27350', 'C21005', 'C20543']"
2024-03-06,7.5,112.5,10,"['C25300', 'C27850', 'C21460', 'C27050', 'C23050', 'C21005', 'C23550', 'C20500', 'C27350', 'C23150']"
2024-03-07,30.0,112.5,10,"['C28000', 'C27300', 'C21526', 'C27046', 'C21535', 'C27020', 'C21422', 'C25300', 'C25410', 'C21700', 'C27350', 'C27076', 'C21146', 'C21580', 'C27050', 'C21525', 'C25630', 'C21460', 'C21020', 'C27850', 'C24250', 'C21990']"
2024-03-08,30.0,112.5,10,"['C24400', 'C23300', 'C27050', 'C21460', 'C26490', 'C22780', 'C23150', 'C27020', 'C24250', 'C21420', 'C27350', 'C23550', 'C23050', 'C27300', 'C20500', 'C20543', 'C25230', 'C22260', 'C25410', 'C21990', 'C22095', 'C21005', 'C25000']"
2024-03-11,30.0,146.5,11,"['C25020', 'C21900', 'C27050', 'C23050', 'C23300', 'C23510', 'C25300', 'C21700', 'C3902271', 'C25230', 'C23150', 'C21580', 'C22940', 'C22980', 'C22095', 'C24400', 'C25630', 'C24880', 'C22260', 'C25410', 'C24260', 'C26490', 'C24950', 'C22780']"
2024-03-12,30.0,146.5,11,"['C25230', 'C27046', 'C27850', 'C27076', 'C25300', 'C23550', 'C23050', 'C25410', 'C21055', 'C27350', 'C20500', 'C21020', 'C22095', 'C28100', 'C21990', 'C20300', 'C25020', 'C24400', 'C22260', 'C21005', 'C21460', 'C20543']"
2024-03-13,26.5,146.5,11,"['C23680', 'C25585', 'C25410', 'C22260', 'C20543', 'C21990', 'C20500', 'C23550', 'C21020', 'C25300', 'C27850', 'C21005', 'C25230', 'C27076', 'C29012', 'C22095', 'C23150', 'C23400', 'C27350', 'C27046', 'C23325', 'C21165', 'C20300', 'C21460', 'C23300', 'C23050', 'C27050']"
2024-03-14,30.0,146.5,11,"['C28500', 'C3902267', 'C21525', 'C3900504', 'C28100', 'C3900503', 'C22903', 'C21420', 'C21900', 'C27046', 'C21005', 'C26300', 'C22905', 'C27300', 'C22780', 'C27350', 'C27050', 'C28350', 'C23200', 'C21460', 'C24400', 'C20543', 'C20300', 'C28200']"
2024-03-15,30.0,146.5,11,"['C20543', 'C28485', 'C23150', 'C20500', 'C3900219', 'C3901221', 'C29998', 'C3900503', 'C22905', 'C23551', 'C3901799', 'C28750', 'C28840', 'C23550', 'C3900221', 'C3901891', 'C23305', 'C3900504', 'C3900487', 'C3900493', 'C3902267', 'C28500', 'C23330', 'C22780', 'C24250']"
2024-03-18,30.0,150.0,12,"['C23335', 'C3902150', 'C27200', 'C21055', 'C3900715', 'C23305', 'C26350', 'C27020', 'C29998', 'C21180', 'C26490', 'C3900219', 'C21420', 'C23150', 'C3900376', 'C21350', 'C23300', 'C27300', 'C21520', 'C3901799', 'C23350', 'C21525', 'C20300', 'C28350', 'C27350', 'C20500', 'C3901071', 'C28100']"
2024-03-19,30.0,150.0,12,"['C3900713', 'C24250', 'C24400', 'C27068', 'C3900487', 'C28100', 'C3900221', 'C28485', 'C27050', 'C23305', 'C23300', 'C27350', 'C3900799', 'C3900702', 'C23550', 'C25020', 'C28530', 'C28520', 'C25000', 'C3901799', 'C27300', 'C23330', 'C21900']"
2024-03-20,30.0,150.0,12,"['C28100', 'C21005', 'C23305', 'C25000', 'C3901221', 'C20300', 'C3900376', 'C20700', 'C3902150', 'C22785', 'C27020', 'C29998', 'C3901231', 'C28505', 'C28520', 'C23335', 'C23550', 'C23350', 'C21460', 'C28530', 'C20500', 'C23050', 'C3900715', 'C3900219', 'C21525', 'C3901799', 'C3900702', 'C21180', 'C3902403', 'C27850', 'C27350', 'C23150', 'C25300']"
2024-03-21,30.0,150.0,12,"['C25305', 'C22905', 'C27020', 'C27950', 'C3900702', 'C3900504', 'C27355', 'C27850', 'C27350', 'C21016', 'C27200', 'C28520', 'C3902520', 'C23550', 'C23551', 'C22980', 'C25300', 'C3902403', 'C21460', 'C20500']"
2024-03-22,30.0,150.0,12,"['C25300', 'C3900713', 'C3900221', 'C3902569', 'C27350', 'C3900702', 'C28350', 'C24267', 'C24250', 'C20300', 'C3902019', 'C27300', 'C20543', 'C28485', 'C3900493', 'C23325', 'C3902403', 'C23150', 'C21580', 'C21700', 'C25020', 'C21900', 'C21990', 'C28000', 'C21055', 'C3901128', 'C21165', 'C25585']"
2024-03-25,30.0,128.0,13,"['C21005', 'C23550', 'C23300', 'C21990', 'C3901128', 'C21055', 'C3901799', 'C21526', 'C3900713', 'C23305', 'C27020', 'C24950', 'C28100', 'C21580', 'C21991', 'C3902520', 'C25000', 'C21900', 'C25630', 'C24400', 'C3902403', 'C25410', 'C3900799', 'C3900702']"
