MP_OF,MP CODE,MP NAME,BESOIN (KG),ORDRE PRODUCTION,DATE FABRICATION,DATE PESEE,Temps pesee (15 ou 30 minutes)
C270200000455182,C27020,PHENOXYETHANOL,5.05,455182,2024-03-05 07:30:40.210,2024-03-01,30
C270200000455182,C27020,PHENOXYETHANOL,5.05,455182,2024-03-05 07:30:40.210,2024-03-01,30
C287500000453897,C28750,VASELINE BLANC VISQ,227.2448,453897,2024-03-05 13:00:00.000,2024-03-01,30
C287500000453897,C28750,VASELINE BLANC VISQ,227.2448,453897,2024-03-05 13:00:00.000,2024-03-01,30
C287100000455116,C28710,VASELINE BLANCHE METVIX,1.6422,455116,2024-03-05 07:30:40.210,2024-03-01,30
C287100000455117,C28710,VASELINE BLANCHE METVIX,1.6422,455117,2024-03-05 15:53:00.000,2024-03-01,15
C287100000455116,C28710,VASELINE BLANCHE METVIX,1.6422,455116,2024-03-05 07:30:40.210,2024-03-01,30
C287100000455117,C28710,VASELINE BLANCHE METVIX,1.6422,455117,2024-03-05 15:53:00.000,2024-03-01,15
C287000000455182,C28700,VASELINE BLANCHE,40.4,455182,2024-03-05 07:30:40.210,2024-03-01,30
C287000000455182,C28700,VASELINE BLANCHE,40.4,455182,2024-03-05 07:30:40.210,2024-03-01,30
C236500000455120,C23650,GLYCEROL STEARATE AE,13.332,455120,2024-03-05 07:30:40.210,2024-03-01,30
C236500000455116,C23650,GLYCEROL STEARATE AE,1.4076,455116,2024-03-05 07:30:40.210,2024-03-01,15
C236500000455117,C23650,GLYCEROL STEARATE AE,1.4076,455117,2024-03-05 15:53:00.000,2024-03-01,15
C236500000455119,C23650,GLYCEROL STEARATE AE,13.332,455119,2024-03-05 23:58:00.000,2024-03-01,15
C236500000455120,C23650,GLYCEROL STEARATE AE,13.332,455120,2024-03-05 07:30:40.210,2024-03-01,30
C236500000455116,C23650,GLYCEROL STEARATE AE,1.4076,455116,2024-03-05 07:30:40.210,2024-03-01,15
C236500000455117,C23650,GLYCEROL STEARATE AE,1.4076,455117,2024-03-05 15:53:00.000,2024-03-01,15
C236500000455119,C23650,GLYCEROL STEARATE AE,13.332,455119,2024-03-05 23:58:00.000,2024-03-01,15
C229030000455120,C22903,DESONIDE MS USP,2.7775,455120,2024-03-05 07:30:40.210,2024-03-01,30
C229030000455119,C22903,DESONIDE MS USP,2.7775,455119,2024-03-05 23:58:00.000,2024-03-01,15
C229030000455120,C22903,DESONIDE MS USP,2.7775,455120,2024-03-05 07:30:40.210,2024-03-01,30
C229030000455119,C22903,DESONIDE MS USP,2.7775,455119,2024-03-05 23:58:00.000,2024-03-01,15
C242000000455116,C24200,ISOPROPYL MYRISTATE,0.9384,455116,2024-03-05 07:30:40.210,2024-03-01,30
C242000000455117,C24200,ISOPROPYL MYRISTATE,0.9384,455117,2024-03-05 15:53:00.000,2024-03-01,15
C242000000455116,C24200,ISOPROPYL MYRISTATE,0.9384,455116,2024-03-05 07:30:40.210,2024-03-01,30
C242000000455117,C24200,ISOPROPYL MYRISTATE,0.9384,455117,2024-03-05 15:53:00.000,2024-03-01,15
C242500000455093,C24250,ISOPROPYL PALMITATE,20.4,455093,2024-03-05 13:56:00.000,2024-03-01,30
C242500000455093,C24250,ISOPROPYL PALMITATE,20.4,455093,2024-03-05 13:56:00.000,2024-03-01,30
C213620000453897,C21362,CALCITRIOL NVS,0.001212,453897,2024-03-05 13:00:00.000,2024-03-01,30
C213620000453897,C21362,CALCITRIOL NVS,0.001212,453897,2024-03-05 13:00:00.000,2024-03-01,30
C281000000455093,C28100,SORBITOL 70% NONCRIS,51.0,455093,2024-03-05 13:56:00.000,2024-03-01,30
C281000000455093,C28100,SORBITOL 70% NONCRIS,51.0,455093,2024-03-05 13:56:00.000,2024-03-01,30
C267100000455116,C26710,PEG 40 STEARATE,0.7038,455116,2024-03-05 07:30:40.210,2024-03-01,30
C267100000455182,C26710,PEG 40 STEARATE,30.3,455182,2024-03-05 07:30:40.210,2024-03-01,15
C267100000455117,C26710,PEG 40 STEARATE,0.7038,455117,2024-03-05 15:53:00.000,2024-03-01,15
C267100000455116,C26710,PEG 40 STEARATE,0.7038,455116,2024-03-05 07:30:40.210,2024-03-01,30
C267100000455182,C26710,PEG 40 STEARATE,30.3,455182,2024-03-05 07:30:40.210,2024-03-01,15
C267100000455117,C26710,PEG 40 STEARATE,0.7038,455117,2024-03-05 15:53:00.000,2024-03-01,15
C273500000455120,C27350,PROPYLENE GLYCOL,277.75,455120,2024-03-05 07:30:40.210,2024-03-01,30
C273500000455000,C27350,PROPYLENE GLYCOL,142.8,455000,2024-03-05 16:00:00.000,2024-03-01,15
C273500000455119,C27350,PROPYLENE GLYCOL,277.75,455119,2024-03-05 23:58:00.000,2024-03-01,15
C273500000455120,C27350,PROPYLENE GLYCOL,277.75,455120,2024-03-05 07:30:40.210,2024-03-01,30
C273500000455000,C27350,PROPYLENE GLYCOL,142.8,455000,2024-03-05 16:00:00.000,2024-03-01,15
C273500000455119,C27350,PROPYLENE GLYCOL,277.75,455119,2024-03-05 23:58:00.000,2024-03-01,15
C244000000455093,C24400,LACTIQUE ACIDE 90%,0.408,455093,2024-03-05 13:56:00.000,2024-03-01,30
C244000000455093,C24400,LACTIQUE ACIDE 90%,0.408,455093,2024-03-05 13:56:00.000,2024-03-01,30
C264000000455182,C26400,PARAFFINE LIQ110-230,40.4,455182,2024-03-05 07:30:40.210,2024-03-01,30
C264000000453897,C26400,PARAFFINE LIQ110-230,176.75,453897,2024-03-05 13:00:00.000,2024-03-01,15
C264000000455182,C26400,PARAFFINE LIQ110-230,40.4,455182,2024-03-05 07:30:40.210,2024-03-01,30
C264000000453897,C26400,PARAFFINE LIQ110-230,176.75,453897,2024-03-05 13:00:00.000,2024-03-01,15
C283500000455120,C28350,STEARYLIQUE ALCOOL,61.105,455120,2024-03-05 07:30:40.210,2024-03-01,30
C283500000455182,C28350,STEARYLIQUE ALCOOL,50.5,455182,2024-03-05 07:30:40.210,2024-03-01,15
C283500000455119,C28350,STEARYLIQUE ALCOOL,61.105,455119,2024-03-05 23:58:00.000,2024-03-01,15
C283500000455120,C28350,STEARYLIQUE ALCOOL,61.105,455120,2024-03-05 07:30:40.210,2024-03-01,30
C283500000455182,C28350,STEARYLIQUE ALCOOL,50.5,455182,2024-03-05 07:30:40.210,2024-03-01,15
C283500000455119,C28350,STEARYLIQUE ALCOOL,61.105,455119,2024-03-05 23:58:00.000,2024-03-01,15
C270500000455000,C27050,POLOXAMER 182,7.14,455000,2024-03-05 16:00:00.000,2024-03-01,30
C270500000455000,C27050,POLOXAMER 182,7.14,455000,2024-03-05 16:00:00.000,2024-03-01,30
C263000000455120,C26300,PARAFFINE LIQ 15-25,787.699,455120,2024-03-05 07:30:40.210,2024-03-01,30
C263000000455119,C26300,PARAFFINE LIQ 15-25,787.699,455119,2024-03-05 23:58:00.000,2024-03-01,15
C263000000455120,C26300,PARAFFINE LIQ 15-25,787.699,455120,2024-03-05 07:30:40.210,2024-03-01,30
C263000000455119,C26300,PARAFFINE LIQ 15-25,787.699,455119,2024-03-05 23:58:00.000,2024-03-01,15
C256300000455116,C25630,OLEIQUE ALCOOL,0.2346,455116,2024-03-05 07:30:40.210,2024-03-01,30
C256300000455117,C25630,OLEIQUE ALCOOL,0.2346,455117,2024-03-05 15:53:00.000,2024-03-01,15
C256300000455116,C25630,OLEIQUE ALCOOL,0.2346,455116,2024-03-05 07:30:40.210,2024-03-01,30
C256300000455117,C25630,OLEIQUE ALCOOL,0.2346,455117,2024-03-05 15:53:00.000,2024-03-01,15
C273500000454932,C27350,PROPYLENE GLYCOL,142.8,454932,2024-03-06 18:22:00.000,2024-03-04,30
C273500000454932,C27350,PROPYLENE GLYCOL,142.8,454932,2024-03-06 18:22:00.000,2024-03-04,30
C210050000454932,C21005,BENZOYL PEROXYD HYD ARKEMA,241.4976,454932,2024-03-06 18:22:00.000,2024-03-04,30
C210050000454932,C21005,BENZOYL PEROXYD HYD ARKEMA,241.4976,454932,2024-03-06 18:22:00.000,2024-03-04,30
C230500000454932,C23050,DIOCTYL NA SULFOSUCC,1.8025,454932,2024-03-06 18:22:00.000,2024-03-04,30
C230500000454932,C23050,DIOCTYL NA SULFOSUCC,1.8025,454932,2024-03-06 18:22:00.000,2024-03-04,30
C278500000454932,C27850,SILICE COLLOIDAL ANH,0.7461,454932,2024-03-06 18:22:00.000,2024-03-04,30
C278500000454932,C27850,SILICE COLLOIDAL ANH,0.7461,454932,2024-03-06 18:22:00.000,2024-03-04,30
C250200000455094,C25020,METRONIDAZOLE,7.65,455094,2024-03-06 00:41:00.000,2024-03-04,30
C250200000455094,C25020,METRONIDAZOLE,7.65,455094,2024-03-06 00:41:00.000,2024-03-04,30
C253000000455094,C25300,NA HYDROXYDE,0.0,455094,2024-03-06 00:41:00.000,2024-03-04,30
C253000000454932,C25300,NA HYDROXYDE,6.2475,454932,2024-03-06 18:22:00.000,2024-03-04,15
C253000000455094,C25300,NA HYDROXYDE,0.0,455094,2024-03-06 00:41:00.000,2024-03-04,30
C253000000454932,C25300,NA HYDROXYDE,6.2475,454932,2024-03-06 18:22:00.000,2024-03-04,15
C205000000454932,C20500,ACRYLATES COPOLYMER,71.05,454932,2024-03-06 18:22:00.000,2024-03-04,30
C205000000454932,C20500,ACRYLATES COPOLYMER,71.05,454932,2024-03-06 18:22:00.000,2024-03-04,30
C214600000454932,C21460,CARBOMER 940/POL 980,28.56,454932,2024-03-06 18:22:00.000,2024-03-04,30
C214600000454932,C21460,CARBOMER 940/POL 980,28.56,454932,2024-03-06 18:22:00.000,2024-03-04,30
C219000000455094,C21900,CIRE AE,127.5,455094,2024-03-06 00:41:00.000,2024-03-04,30
C219000000455094,C21900,CIRE AE,127.5,455094,2024-03-06 00:41:00.000,2024-03-04,30
C210550000455094,C21055,BENZYLIQUE ALCOOL PHARMA,22.44,455094,2024-03-06 00:41:00.000,2024-03-04,30
C210550000455094,C21055,BENZYLIQUE ALCOOL PHARMA,22.44,455094,2024-03-06 00:41:00.000,2024-03-04,30
C231500000454932,C23150,EDTA DISODIUM,3.535,454932,2024-03-06 18:22:00.000,2024-03-04,30
C231500000454932,C23150,EDTA DISODIUM,3.535,454932,2024-03-06 18:22:00.000,2024-03-04,30
C235500000455094,C23550,GLYCEROL,40.8,455094,2024-03-06 00:41:00.000,2024-03-04,30
C235500000454932,C23550,GLYCEROL,141.4,454932,2024-03-06 18:22:00.000,2024-03-04,15
C235500000455094,C23550,GLYCEROL,40.8,455094,2024-03-06 00:41:00.000,2024-03-04,30
C235500000454932,C23550,GLYCEROL,141.4,454932,2024-03-06 18:22:00.000,2024-03-04,15
C281000000455094,C28100,SORBITOL 70% NONCRIS,51.0,455094,2024-03-06 00:41:00.000,2024-03-04,30
C281000000455094,C28100,SORBITOL 70% NONCRIS,51.0,455094,2024-03-06 00:41:00.000,2024-03-04,30
C270500000454932,C27050,POLOXAMER 182,7.07,454932,2024-03-06 18:22:00.000,2024-03-04,30
C270500000454932,C27050,POLOXAMER 182,7.07,454932,2024-03-06 18:22:00.000,2024-03-04,30
C242500000455094,C24250,ISOPROPYL PALMITATE,20.4,455094,2024-03-06 00:41:00.000,2024-03-04,30
C242500000455094,C24250,ISOPROPYL PALMITATE,20.4,455094,2024-03-06 00:41:00.000,2024-03-04,30
C244000000455094,C24400,LACTIQUE ACIDE 90%,0.408,455094,2024-03-06 00:41:00.000,2024-03-04,30
C244000000455094,C24400,LACTIQUE ACIDE 90%,0.408,455094,2024-03-06 00:41:00.000,2024-03-04,30
C249500000455111,C24950,METHYL GLUCOSE SESQU,35.35,455111,2024-03-07 23:38:00.000,2024-03-05,30
C249500000455111,C24950,METHYL GLUCOSE SESQU,35.35,455111,2024-03-07 23:38:00.000,2024-03-05,30
C282000000455111,C28200,SQUALANE NATUREL,60.6,455111,2024-03-07 23:38:00.000,2024-03-05,30
C282000000455111,C28200,SQUALANE NATUREL,60.6,455111,2024-03-07 23:38:00.000,2024-03-05,30
C230500000454919,C23050,DIOCTYL NA SULFOSUCC,3.06,454919,2024-03-07 18:36:00.000,2024-03-05,30
C230500000454919,C23050,DIOCTYL NA SULFOSUCC,3.06,454919,2024-03-07 18:36:00.000,2024-03-05,30
C278500000454919,C27850,SILICE COLLOIDAL ANH,1.2852,454919,2024-03-07 18:36:00.000,2024-03-05,30
C278500000454919,C27850,SILICE COLLOIDAL ANH,1.2852,454919,2024-03-07 18:36:00.000,2024-03-05,30
C211470000455118,C21147,BRIMONIDINE NVS MEDICHEM,5.1,455118,2024-03-07 14:52:00.000,2024-03-05,30
C211470000455118,C21147,BRIMONIDINE NVS MEDICHEM,5.1,455118,2024-03-07 14:52:00.000,2024-03-05,30
C250000000456221,C25000,METHYL PARABEN,1.01,456221,2024-03-07 05:00:00.000,2024-03-05,30
C250000000455118,C25000,METHYL PARABEN,1.02,455118,2024-03-07 14:52:00.000,2024-03-05,15
C250000000455111,C25000,METHYL PARABEN,2.02,455111,2024-03-07 23:38:00.000,2024-03-05,15
C250000000456221,C25000,METHYL PARABEN,1.01,456221,2024-03-07 05:00:00.000,2024-03-05,30
C250000000455118,C25000,METHYL PARABEN,1.02,455118,2024-03-07 14:52:00.000,2024-03-05,15
C250000000455111,C25000,METHYL PARABEN,2.02,455111,2024-03-07 23:38:00.000,2024-03-05,15
C214600000454919,C21460,CARBOMER 940/POL 980,48.96,454919,2024-03-07 18:36:00.000,2024-03-05,30
C214600000454919,C21460,CARBOMER 940/POL 980,48.96,454919,2024-03-07 18:36:00.000,2024-03-05,30
C264900000455111,C26490,PEG 20 METH GLU SESQ,35.35,455111,2024-03-07 23:38:00.000,2024-03-05,30
C264900000455111,C26490,PEG 20 METH GLU SESQ,35.35,455111,2024-03-07 23:38:00.000,2024-03-05,30
C270500000456221,C27050,POLOXAMER 182,2.02,456221,2024-03-07 05:00:00.000,2024-03-05,30
C270500000454919,C27050,POLOXAMER 182,12.24,454919,2024-03-07 18:36:00.000,2024-03-05,15
C270500000456221,C27050,POLOXAMER 182,2.02,456221,2024-03-07 05:00:00.000,2024-03-05,30
C270500000454919,C27050,POLOXAMER 182,12.24,454919,2024-03-07 18:36:00.000,2024-03-05,15
C235500000455118,C23550,GLYCEROL,56.1,455118,2024-03-07 14:52:00.000,2024-03-05,30
C235500000454919,C23550,GLYCEROL,244.8,454919,2024-03-07 18:36:00.000,2024-03-05,15
C235500000455111,C23550,GLYCEROL,30.3,455111,2024-03-07 23:38:00.000,2024-03-05,15
