,date,temps jour,temps semaine,week_number,matieres
1,2024-03-04,17.0,112.5,10,"['C27350', 'C21005', 'C23050', 'C27850', 'C25020', 'C25300', 'C20500', 'C21460', 'C21900', 'C21055', 'C23150', 'C23550', 'C28100', 'C27050', 'C24250', 'C24400']"
2,2024-03-05,28.0,112.5,10,"['C24950', 'C28200', 'C23050', 'C27850', 'C21147', 'C25000', 'C21460', 'C26490', 'C27050', 'C23550', 'C21526', 'C21420', 'C21422', 'C27300', 'C20500', 'C28480', 'C25300', 'C27020', 'C22780', 'C23150', 'C27350', 'C21005', 'C20543']"
3,2024-03-06,7.5,112.5,10,"['C25300', 'C27850', 'C21460', 'C27050', 'C23050', 'C21005', 'C23550', 'C20500', 'C27350', 'C23150']"
8,2024-03-13,26.5,146.5,11,"['C23680', 'C25585', 'C25410', 'C22260', 'C20543', 'C21990', 'C20500', 'C23550', 'C21020', 'C25300', 'C27850', 'C21005', 'C25230', 'C27076', 'C29012', 'C22095', 'C23150', 'C23400', 'C27350', 'C27046', 'C23325', 'C21165', 'C20300', 'C21460', 'C23300', 'C23050', 'C27050']"
19,2024-03-28,8.0,128.0,13,"['C20536', 'C27355', 'C21022', 'C23052', 'C23155', 'C27045', 'C20300', 'C23552']"
28,2024-04-10,0.0,120.0,15,[]
35,2024-04-19,21.5,141.5,16,"['C25300', 'C20700', 'C21525', 'C27300', 'C27020', 'C25020', 'C28520', 'C23300', 'C23150', 'C25000', 'C28530', 'C20300', 'C27350', 'C22785']"
36,2024-04-22,29.75,62.0,17,"['C23335', 'C23350', 'C3901799', 'C3900376', 'C3902403', 'C3900702', 'C28100', 'C3900219', 'C21525', 'C21700', 'C21180', 'C3901221', 'C3902150', 'C23305', 'C25000', 'C3901071', 'C3900715', 'C29998', 'C3901231', 'C28505']"
37,2024-04-23,26.25,62.0,17,"['C28100', 'C3900219', 'C20543', 'C28505', 'C29998', 'C3900376', 'C23305', 'C27020', 'C3901071', 'C25000', 'C3901231', 'C3902150', 'C25300', 'C27350', 'C21700', 'C3900715', 'C3901221', 'C23150', 'C27050', 'C3901799', 'C23335', 'C21526', 'C21525', 'C3900702', 'C3902403', 'C21180', 'C23350']"
38,2024-04-24,6.0,62.0,17,"['C27350', 'C25300', 'C25000', 'C20543', 'C27050', 'C21526', 'C23150', 'C27020']"
